Source	Title	Content	Section	URL	Date
La Jornada	china , campo batalla apple Huawei nuevo teléfono alto gama	nuevo modelo apple Huawei salir venta manera simultáneo viernes china , donde usuario hacer largo fila adquirir dispositivo alto gama dos marca competir mercado chino , más grande importante ambos compañía .	economia	https://www.jornada.com.mx/2024/09/21/economia/016n2eco?partner=rss	21/09/2024
La Jornada	silvia ribeiro* : ayotzinapa , impunidad olvido	saber paradero , justicia tortuoso camino encubrimiento impunidad , cumplir 26 septiembre 10 año desaparición forzado 43 estudiante escuela normal Raúl Isidro burgos ayotzinapa asesinato seis persona , tres estudiante .	economia	https://www.jornada.com.mx/2024/09/21/economia/015a1eco?partner=rss	21/09/2024
La Jornada	Mexicana presentar avión Embraer sumar flota 2025	zumpango , méx. , fin consolidar industria transporte aéreo nacional , Mexicana Aviación , aerolínea Estado mexicano , presentar avión Embraer E195-E2 , modelo adquirir 20 unidad aerolínea empezar recibir partir mayo 2025 .	economia	https://www.jornada.com.mx/2024/09/21/economia/015n1eco?partner=rss	21/09/2024
La Jornada	lun representar escena magia infancia enigma existencia	magia infancia , enigma existencia riesgo pérdida memoria entrelazar lun , propuesta escénico llegar teatro artes centro Nacional artes ( Cenart ) , partir fin semana .	cultura	https://www.jornada.com.mx/2024/09/21/cultura/a04n2cul?partner=rss	21/09/2024
La Jornada	develar amlo estatua Catarino Garza Rodríguez	"próximo lunes , presidente andrés Manuel López obrador inaugurar estatua honor revolucionario Catarino Garza Rodríguez , precursor alzamiento revolucionario dictadura porfirio Díaz . vídeo , definir Garza Rodríguez "" idealista , soñador , guardado circunstancia , similar ernesto che guevara . """	cultura	https://www.jornada.com.mx/2024/09/21/cultura/a05n2cul?partner=rss	21/09/2024
La Jornada	xalapa : indignar destrucción escultura posterior uso relleno zanja	coatl , escultura monumental ceramista Rocío sagaón ( 1933-2015 ) laura Navarro , ubicado parque Natura , xalapa , veracruz , ser destruir usar relleno empresa , contratado gobierno encabezar cuitláhuac García Jiménez , desarrollar proyecto naturalia , refugio vida silvestre , instalar dentro bosque urbano .	cultura	https://www.jornada.com.mx/2024/09/21/cultura/a05n1cul?partner=rss	21/09/2024
La Jornada	ó : instrucciones salir agua desmontar mito ofelia mirada feminista	""" ser no ser "" , escuchar escena . famoso frase no pronunciar Hamlet , mujer cuestionar opción ser morir , dormir tal vez soñar . tratar propuesta escénico ó : instrucciones salir agua , conjugar teatro físico danza repensar personaje shakesperiano ofelia mirada moderno feminista . María fernanda baez interpretar unipersonal iniciar temporada teatro milagro ."	cultura	https://www.jornada.com.mx/2024/09/21/cultura/a04n1cul?partner=rss	21/09/2024
La Jornada	Angélica azuara recomendar Jornada trinchera : puesto periódico	"Angélica azuara , puesto periódico donde trabajar hacer 15 año ser también trinchera , haber tocar "" evadir recibir dardo censura sexenio anterior , así mente panista cerrado hoy día "" ."	cultura	https://www.jornada.com.mx/2024/09/21/cultura/a02n1cul?partner=rss	21/09/2024
La Jornada	""" quedar corto hablar significar Jornada méxico """	"hacer más 40 año "" haber más periodismo , decir manera , además grande diario , estar Figaro , cine Mundial , Redondel , segundo Ovaciones , Últimas Noticias , Extra . hoy ser cochinada , ser difusor noticia no noticia ; estar lado . panorama , importante ser existir Jornada , dar lugar lector "" ."	cultura	https://www.jornada.com.mx/2024/09/21/cultura/a03n1cul?partner=rss	21/09/2024
Expansión	china sufrir exceso ... leche	mercado leche china enfrentar situación complicado exceso oferta , bajo demanda pérdida millonario .	economia	https://expansion.mx/economia/2024/09/20/china-sufre-por-exceso-de-leche	20/09/2024
Expansión	"eu pedir "" implementación riguroso "" plan certificación aguacate méxico"	venta aguacate mexicano Estados unido haber disparar 48 % 2019 , alcanzar valor más 3000 millón dólar año pasado .	economia	https://expansion.mx/economia/2024/09/20/eu-implementacion-rigurosa-certificacion-aguacate-mexico	20/09/2024
Expansión	Banqueros pedir evitar arbitraje regulatorio licencia bancario	presidente abm decir producto ofrecer institución financiero deber tener regulación igual mantener incentivo inversión país .	economia	https://expansion.mx/economia/2024/09/20/banqueros-evitar-arbitraje-regulatorio-licencias-bancarias	20/09/2024
Expansión	Banqueros esperar ley secundario reforma judicial dar certidumbre	"aprobación reforma Poder Judicial , banquero esperar ley secundario afinar detalle permitir reforma "" exitoso "" ."	economia	https://expansion.mx/economia/2024/09/20/banqueros-leyes-secundarias-certidumbre-reforma-judicial	20/09/2024
Expansión	slim criticar dinero gastar jubilado pedir combatir pobreza	hombre más rico méxico decir recurso recibir actualmente mayor 65 año deber usar sacar 6 millón persona pobreza extremo .	economia	https://expansion.mx/economia/2024/09/20/carlos-slim-critica-jubilados-y-pensiones-mexico	20/09/2024
